Entry	Gene Names (primary)	Gene Names (ordered locus)
Q6ZEM9		slr5101
Q6ZEN7		slr5093
Q6ZEP2		slr5088
Q6ZEP3		slr5087
Q6ZEP5		slr5085
Q6ZEP8		slr5082
Q6ZEQ2		slr5078
Q6ZEQ3		slr5077
Q6ZEQ7		slr5073
Q6ZEQ9		slr5071
Q6ZES2		slr5058
Q6ZES4		slr5056
Q6ZES5		slr5055
Q6ZES6		slr5054
Q6ZES7		slr5053
Q6ZES9		slr5051
Q6ZEU0		slr5040
Q6ZEU2		slr5038
Q6ZEU3		slr5037
Q6ZEV1		slr5029
Q6ZEV6		slr5024
Q6ZEV7		slr5023
Q6ZEV8		slr5022
Q6ZEV9		slr5021
Q6ZEW2		slr5018
Q6ZEW3		slr5017
Q6ZEW4		slr5016
Q6ZEW7		slr5013
Q6ZEW8		slr5012
Q6ZEX0		slr5010
Q6ZEX5		slr5005
P73681		slr2144
P73677		slr2141
P73998		slr2131
P73995		slr2128
P73994		slr2127
P73993		slr2126
P73992		slr2125
P73991		slr2124
P73990		slr2123
P73989		slr2122
P73988		slr2121
P73987		slr2120
P73986		slr2119
P73985		slr2118
P73984		slr2117
P73982		slr2115
P73980		slr2112
P73979		slr2111
P73978		slr2110
P73934		slr2105
P73932		slr2104
P73931		slr2103
P73929		slr2101
P73928		slr2100
P73927		slr2099
P73926		slr2098
P73924		slr2096
P73923		slr2095
P73922		slr2094
P73917		slr2092
P73909		slr2084
P73905		slr2080
P73381		slr2078
P73380		slr2077
P73371		slr2071
P73370		slr2070
P73816		slr2062
P73812		slr2060
P73811		slr2059
P73096		slr2053
P73094		slr2052
P73091		slr2048
P73090		slr2047
P73089		slr2046
P73087		slr2045
P73086		slr2044
P73079		slr2042
P73075		slr2038
P73074		slr2037
P73073		slr2036
P73256		slr2031
P73255		slr2030
P73249		slr2027
P73244		slr2025
P73243		slr2024
P73239		slr2019
P73238		slr2018
P73237		slr2017
P73236		slr2016
P73235		slr2015
P73233		slr2013
P73232		slr2012
P73231		slr2011
P73228		slr2010
P73226		slr2008
P73224		slr2006
P73222		slr2005
P73837		slr2004
P73834		slr2003
P73831		slr2000
P73830		slr1999
P73829		slr1998
P73822		slr1990
P74139		slr1983
P74138		slr1982
P74131		slr1980
P74129		slr1978
P74128		slr1977
P74124		slr1975
P74117		slr1972
P74114		slr1971
P74113		slr1970
P74108		slr1968
P74105		slr1966
P74102		slr1963
P74100		slr1962
P74097		slr1959
P74094		slr1958
P74093		slr1957
P74092		slr1956
P74513		slr1951
P74512		slr1950
P74511		slr1949
P74509		slr1946
P74506		slr1944
P74505		slr1943
P74500		slr1940
P74499		slr1939
P74491		slr1935
P74484		slr1932
P74483		slr1931
P74482		slr1930
P74481		slr1929
P74480		slr1928
P74479		slr1927
P74478		slr1926
P74474		slr1924
P74473		slr1923
P73122		slr1920
P73121		slr1919
P73116		slr1918
P73115		slr1917
P73114		slr1916
P73113		slr1915
P73110		slr1914
P73109		slr1913
P73108		slr1912
P73106		slr1911
P73104		slr1909
P73103		slr1908
P73102		slr1907
P73101		slr1906
P73331		slr1903
P73330		slr1902
P73329		slr1901
P73328		slr1900
P73324		slr1896
P73323		slr1895
P73321		slr1894
P73661		slr1888
P73657		slr1885
P73647		slr1880
P73635		slr1876
P73633		slr1875
P73624		slr1871
P73622		slr1870
P73621		slr1869
P73616		slr1866
P73615		slr1865
P73614		slr1864
P73613		slr1863
P73612		slr1862
P73611		slr1861
P73609		slr1859
P73607		slr1856
P73606		slr1855
P73605		slr1854
P73604		slr1853
P73603		slr1852
P73063		slr1851
P73057		slr1847
P73056		slr1846
P73409		slr1841
P73408		slr1840
P73404		slr1837
P73384		slr1827
P73383		slr1826
P73714		slr1821
P73712		slr1820
P73709		slr1819
P73706		slr1818
P73701		slr1816
P73700		slr1815
P73699		slr1814
P73698		slr1813
P73697		slr1812
P73696		slr1811
P73692		slr1809
P73691		slr1807
P73687		slr1805
P72814		slr1800
P72813		slr1799
P72804		slr1796
P72799		slr1794
P72789		slr1789
P72788		slr1788
P72777		slr1780
P72773		slr1778
P72770		slr1776
P72769		slr1774
P72768		slr1773
P72765		slr1772
P73052		slr1771
P73051		slr1770
P73049		slr1768
P73045		slr1767
P73042		slr1764
P73040		slr1763
P73039		slr1762
P73036		slr1760
P73035		slr1759
P73032		slr1753
P73459		slr1752
P73454		slr1748
P73738		slr1747
P73732		slr1740
P73731		slr1739
P73729		slr1738
P73727		slr1737
P73726		slr1736
P73721		slr1735
P73716		slr1732
P73861		slr1726
P73856		slr1724
P73852		slr1721
P73846		slr1717
P73838		slr1712
P73214		slr1708
P73211		slr1705
P73207		slr1704
P73200		slr1702
P73194		slr1699
P74295		slr1694
P74294		slr1693
P74293		slr1692
P74291		slr1690
P74284		slr1687
P74282		slr1686
P74280		slr1684
P74279		slr1683
P74277		slr1682
P74276		slr1681
P74265		slr1677
P74264		slr1676
P74262		slr1674
P74261		slr1673
P74259		slr1670
P74673		slr1668
P74672		slr1667
P74666		slr1664
P74664		slr1661
P74661		slr1660
P74660		slr1659
P74659		slr1658
P74658		slr1657
P74370		slr1648
P74369		slr1647
P74366		slr1644
P74354		slr1638
P74353		slr1636
P74350		slr1634
P74346		slr1629
P74345		slr1628
P74343		slr1627
P74339		slr1624
P72897		slr1619
P72896		slr1618
P72895		slr1617
P72894		slr1616
P72892		slr1614
P72891		slr1613
P72890		slr1612
P72889		slr1611
P72888		slr1610
P73004		slr1609
P73001		slr1608
P72990		slr1603
P72987		slr1601
P72985		slr1600
P72984		slr1599
P72976		slr1597
P72972		slr1594
P72971		slr1593
P72970		slr1592
P72969		slr1591
P72968		slr1590
Q79EE5		slr1588
P74628		slr1586
P74627		slr1585
P74626		slr1584
P74621		slr1583
P74611		slr1579
P74610		slr1577
P74609		slr1576
P74608		slr1575
P74606		slr1573
P74605		slr1572
P74604		slr1571
P74603		slr1570
P74600		slr1568
P74599		slr1567
P74597		slr1566
P74596		slr1565
P74594		slr1563
P74593		slr1562
P74588		slr1557
P73446		slr1552
P73433		slr1547
P73432		slr1546
P73430		slr1544
P73427		slr1543
P73425		slr1541
P73424		slr1540
P73422		slr1537
P73420		slr1535
P74220		slr1534
P74219		slr1533
P74212		slr1530
P74210		slr1529
P73968		slr1524
P73967		slr1523
P73966		slr1522
P73964		slr1520
P73958		slr1515
P73954		slr1513
P73953		slr1512
P73948		slr1508
P73947		slr1507
P73946		slr1506
P73943		slr1505
P73939		slr1503
P72625		slr1501
P72618		slr1495
P72613		slr1494
P72612		slr1493
P72607		slr1488
P72606		slr1485
P72605		slr1484
P74166		slr1478
P74160		slr1474
P74156		slr1472
P74154		slr1470
P74153		slr1468
P74152		slr1467
P74557		slr1464
P74555		slr1462
P74553		slr1461
P74549		slr1456
P74543		slr1451
P73523		slr1450
P73522		slr1449
P73516		slr1444
P73514		slr1442
P73512		slr1441
P73508		slr1440
P73504		slr1438
P73503		slr1437
P73502		slr1436
P74540		slr1431
P74538		slr1429
P74536		slr1428
P74530		slr1425
P74525		slr1421
P74524		slr1420
P74523		slr1419
P72731		slr1417
P72729		slr1415
P72728		slr1414
P72727		slr1413
P72725		slr1411
P73595		slr1410
P73594		slr1409
P73593		slr1407
P73592		slr1406
P73590		slr1403
P72936		slr1400
P73190		slr1398
P73189		slr1397
P73188		slr1396
P73187		slr1395
